PG.ProteinGroups,PG.ProteinAccessions,PG.Genes,PG.Organisms,PG.ProteinDescriptions,PG.ProteinNames,PG.Database,PG.CV,[1] 20231022_AL_HBSS_pooled_DIA1.raw.PG.Quantity,[2] 20231022_AL_HBSS_pooled_DIA2.raw.PG.Quantity,[3] 20231022_AL_HBSS_pooled_DIA3.raw.PG.Quantity,[4] 20231022_AL_HBSSbaf_pooled_DIAbaf1.raw.PG.Quantity,[5] 20231022_AL_HBSSbaf_pooled_DIAbaf2.raw.PG.Quantity,[6] 20231022_AL_HBSSbaf_pooled_DIAbaf3.raw.PG.Quantity,[1] 20231022_AL_HBSS_pooled_DIA1.raw.PG.Log2Quantity,[2] 20231022_AL_HBSS_pooled_DIA2.raw.PG.Log2Quantity,[3] 20231022_AL_HBSS_pooled_DIA3.raw.PG.Log2Quantity,[4] 20231022_AL_HBSSbaf_pooled_DIAbaf1.raw.PG.Log2Quantity,[5] 20231022_AL_HBSSbaf_pooled_DIAbaf2.raw.PG.Log2Quantity,[6] 20231022_AL_HBSSbaf_pooled_DIAbaf3.raw.PG.Log2Quantity
A0A0B4J269,A0A0B4J269,,Homo sapiens,Uncharacterized protein,A0A0B4J269_HUMAN,tr,0.147608615,28581.19922,24301.00391,20346.27734,20301.66211,22502.29297,27465.07031,14.80277883,14.56872829,14.31247724,14.30931023,14.4577844,14.74531036
A0A0B4J2A0;Q9UHJ6,A0A0B4J2A0;Q9UHJ6,;SHPK,Homo sapiens,Uncharacterized protein;Sedoheptulokinase,A0A0B4J2A0_HUMAN;SHPK_HUMAN,tr;sp,0.03123106,54557.08984,59450.01563,58104.55469,58969.78906,58960.49609,57228.13672,15.73547907,15.85938957,15.82636364,15.84768841,15.84746104,15.80443701
A0A0B4J2E5;Q15269,A0A0B4J2E5;Q15269,LOC102724159;PWP2,Homo sapiens,Protein LOC102724159;Periodic tryptophan protein 2 homolog,A0A0B4J2E5_HUMAN;PWP2_HUMAN,tr;sp,0.058297908,61605.85156,71694.96875,66669.90625,62452.5625,68150.25,68787.28125,15.91077977,16.12958426,16.02474808,15.93047315,16.05643133,16.06985422
A0A0C4DFX4;Q6ZRS2,A0A0C4DFX4;Q6ZRS2,;SRCAP,Homo sapiens,Uncharacterized protein (Fragment);Helicase SRCAP,A0A0C4DFX4_HUMAN;SRCAP_HUMAN,tr;sp,0.081270651,46930.29297,44510.60156,43045.85547,38391.63672,41160.04688,47794.23828,15.51823185,15.44186138,15.39358672,15.22850445,15.328957,15.54454909
A0A0U1RQM0;Q15004,A0A0U1RQM0;Q15004,;KIAA0101,Homo sapiens,Uncharacterized protein;PCNA-associated factor,A0A0U1RQM0_HUMAN;PAF15_HUMAN,tr;sp,0.086774347,18955.87109,17687.50391,19651.63086,17264.89453,16428.87305,15571.55957,14.21035713,14.11044285,14.26236142,14.0755539,14.0039459,13.92662582
A0A0U1RQV1,A0A0U1RQV1,ERVK3-1,Homo sapiens,Protein ERVK3-1 (Fragment),A0A0U1RQV1_HUMAN,tr,0.35390988,7038.27002,4634.797363,7175.845215,8846.818359,7044.996582,2661.824463,12.78100515,12.17829055,12.80893306,13.11094299,12.78238329,11.37819972
A0A0U1RRH7;P0C0S8;P20671;Q16777;Q6FI13;Q96KK5;Q99878;Q9BTM1,A0A0U1RRH7;P0C0S8;P20671;Q16777;Q6FI13;Q96KK5;Q99878;Q9BTM1,;HIST1H2AG;HIST1H2AD;HIST2H2AC;HIST2H2AA3;HIST1H2AH;HIST1H2AJ;H2AFJ,Homo sapiens,Histone H2A;Histone H2A type 1;Histone H2A type 1-D;Histone H2A type 2-C;Histone H2A type 2-A;Histone H2A type 1-H;Histone H2A type 1-J;Histone H2A.J,A0A0U1RRH7_HUMAN;H2A1_HUMAN;H2A1D_HUMAN;H2A2C_HUMAN;H2A2A_HUMAN;H2A1H_HUMAN;H2A1J_HUMAN;H2AJ_HUMAN,tr;sp;sp;sp;sp;sp;sp;sp,0.068872124,24190366,24712856,24053100,28464440,26813398,26735788,24.52792926,24.55875841,24.51971951,24.76265738,24.67645072,24.67226886
A0AV96,A0AV96,RBM47,Homo sapiens,RNA-binding protein 47,RBM47_HUMAN,sp,0.031722818,62328.85938,65640.1875,64952.77734,63590.82813,62994.83203,60011.26563,15.92761269,16.00229174,15.9871036,15.95653108,15.94294586,15.87294574
A0AVT1,A0AVT1,UBA6,Homo sapiens,Ubiquitin-like modifier-activating enzyme 6,UBA6_HUMAN,sp,0.027052216,34919.89453,34216.21875,34391.65234,35525.94922,36326.03906,33757.46094,15.09176158,15.06239272,15.06977081,15.11658558,15.14871644,15.04291878
A0FGR8,A0FGR8,ESYT2,Homo sapiens,Extended synaptotagmin-2,ESYT2_HUMAN,sp,0.016559242,113476.2656,118603.0859,115925.2422,115006.6484,115385.4063,117994.9219,16.79203105,16.85578202,16.82283522,16.81135774,16.81610124,16.84836525
A0MZ66,A0MZ66,SHTN1,Homo sapiens,Shootin-1,SHOT1_HUMAN,sp,0.036222123,45788.76953,49473.90234,47650.62891,44464.62109,47194.76953,47023.33203,15.48270618,15.59438008,15.54020763,15.44037027,15.52633936,15.52108915
A0PJW6,A0PJW6,TMEM223,Homo sapiens,Transmembrane protein 223,TM223_HUMAN,sp,0.142418189,11787.53809,16169.4209,11306.38281,13363.61719,15457.74902,14402.7666,13.52497481,13.98098039,13.46484983,13.70602294,13.91604263,13.81405834
A1L0T0,A1L0T0,ILVBL,Homo sapiens,Acetolactate synthase-like protein,ILVBL_HUMAN,sp,0.033654475,49542.65234,44663.30469,47136.16797,47859.24219,47992.31641,47266.43359,15.59638349,15.44680238,15.52454686,15.54650993,15.55051583,15.52852839
A1L390,A1L390,PLEKHG3,Homo sapiens,Pleckstrin homology domain-containing family G member 3,PKHG3_HUMAN,sp,0.622573081,NaN,258.1039124,462.3341675,1028.831421,414.4042969,NaN,NaN,8.0118082,8.852792175,10.00679089,8.694895152,NaN
A1L3X0,A1L3X0,ELOVL7,Homo sapiens,Elongation of very long chain fatty acids protein 7,ELOV7_HUMAN,sp,0.278936239,12273.90625,8806.040039,8349.283203,5469.618652,6608.82373,8415.016602,13.58330685,13.10427769,13.02743663,12.41722453,12.6901778,13.0387504
A1X283,A1X283,SH3PXD2B,Homo sapiens,SH3 and PX domain-containing protein 2B,SPD2B_HUMAN,sp,0.203435947,16041.34766,11444.52832,15940.07715,17283.88281,19412.58789,21541.04102,13.96950773,13.48237038,13.96037099,14.07713973,14.24470484,14.39480035
A2A3N6,A2A3N6,PIPSL,Homo sapiens,Putative PIP5K1A and PSMD4-like protein,PIPSL_HUMAN,sp,0.203903838,22836.62695,23453.28711,26118.58008,19909.97656,25441.42773,13984.33691,14.47906196,14.51750252,14.67278885,14.2812039,14.63489201,13.77152423
A2RRP1,A2RRP1,NBAS,Homo sapiens,Neuroblastoma-amplified sequence,NBAS_HUMAN,sp,0.078535446,24195.66602,22115.99023,24342.29102,20146.58594,21071.93555,23872.10156,14.56246103,14.43280222,14.57117734,14.29824776,14.36303522,14.54303796
A2RUS2,A2RUS2,DENND3,Homo sapiens,DENN domain-containing protein 3,DEND3_HUMAN,sp,0.129920094,59511.05469,72941.375,62579.03125,60232.88672,63896.89844,48324.30859,15.86087007,16.15444978,15.9333917,15.87826378,15.96345828,15.56046147
A3KMH1,A3KMH1,VWA8,Homo sapiens,von Willebrand factor A domain-containing protein 8,VWA8_HUMAN,sp,0.062231253,27881.25,26460.80859,25176.6582,25168.26172,23470.67383,27237.28711,14.76700762,14.69156953,14.61979918,14.61931796,14.51857164,14.73329539
A3KN83,A3KN83,SBNO1,Homo sapiens,Protein strawberry notch homolog 1,SBNO1_HUMAN,sp,0.054785178,32798.04297,38326.43359,34564.5625,35494.27344,36364.33594,34058.35156,15.00132211,15.22605214,15.07700604,15.11529866,15.15023661,15.05572099
A4D1E9,A4D1E9,GTPBP10,Homo sapiens,GTP-binding protein 10,GTPBA_HUMAN,sp,0.081733847,38469.70313,34000.20703,38090.53125,36312.99219,43412.58984,38619.74219,15.23143508,15.05325591,15.21714479,15.14819819,15.40582587,15.23705091
A4D2B8,A4D2B8,PMS2P1,Homo sapiens,Putative postmeiotic segregation increased 2-like protein 1,PM2P1_HUMAN,sp,0.026962836,157606.2813,160043.1719,148955.2813,150683.7188,154324.7656,155542.3594,17.26596551,17.2881016,17.18451975,17.20116402,17.23561007,17.246948
A5A3E0,A5A3E0,POTEF,Homo sapiens,POTE ankyrin domain family member F,POTEF_HUMAN,sp,0.050645688,110579.6172,111436.375,121059.0156,104472.7266,115413.6719,109134.7656,16.75472596,16.76586071,16.885351,16.67276684,16.81645461,16.73575123
A5D8V6,A5D8V6,VPS37C,Homo sapiens,Vacuolar protein sorting-associated protein 37C,VP37C_HUMAN,sp,0.130587268,13826.73438,19818.21875,15442.08301,19051.24219,16824.17383,17159.27734,13.75517284,14.27453968,13.91457975,14.21759745,14.03824804,14.06670118
A5PLL7,A5PLL7,TMEM189,Homo sapiens,Transmembrane protein 189,TM189_HUMAN,sp,0.267450672,6699.018555,9582.401367,5783.489258,9922.84668,7415.957031,5071.868652,12.70973403,13.22617153,12.49772444,13.27653835,12.85641717,12.30830167
A5YKK6,A5YKK6,CNOT1,Homo sapiens,CCR4-NOT transcription complex subunit 1,CNOT1_HUMAN,sp,0.036480887,83455.45313,81730.08594,82461.86719,76956.3125,79959.28125,76440.03125,16.3487187,16.31857963,16.33143951,16.23175205,16.28697788,16.22204075
A6NCE7;Q9GZQ8;Q9H492,A6NCE7;Q9GZQ8;Q9H492,MAP1LC3B2;MAP1LC3B;MAP1LC3A,Homo sapiens,Microtubule-associated proteins 1A/1B light chain 3 beta 2;Microtubule-associated proteins 1A/1B light chain 3B;Microtubule-associated proteins 1A/1B light chain 3A,MP3B2_HUMAN;MLP3B_HUMAN;MLP3A_HUMAN,sp,0.290383598,50787.92969,49323.47656,45812.68359,80381.40625,84143.30469,85593.125,15.63219804,15.58998687,15.48345945,16.2945742,16.36056086,16.3852073
A6NDG6,A6NDG6,PGP,Homo sapiens,Phosphoglycolate phosphatase,PGP_HUMAN,sp,0.111101557,77235.32813,70493.39844,68942.71875,66660.23438,56578.5625,60245.72656,16.23697328,16.10520054,16.07311057,16.02453877,15.7879679,15.87857129
A6NHR9,A6NHR9,SMCHD1,Homo sapiens,Structural maintenance of chromosomes flexible hinge domain-containing protein 1,SMHD1_HUMAN,sp,0.027541708,42286.87109,41946.1875,42864.45703,41952.96094,39908.26953,40424.00391,15.3679222,15.35625207,15.38749425,15.35648502,15.2844001,15.3029246
A6NHX0,A6NHX0,GATSL2,Homo sapiens,GATS-like protein 2,GATL2_HUMAN,sp,0.103046058,4363.187988,3515.151367,3739.576416,4112.048828,3376.592285,3514.715088,12.09116692,11.7793711,11.86865915,12.00564168,11.72135227,11.77919203
A6NIH7,A6NIH7,UNC119B,Homo sapiens,Protein unc-119 homolog B,U119B_HUMAN,sp,0.240329068,9667.447266,11470.91504,11517.62402,10258.2832,17266.13477,10149.43066,13.23891927,13.48569286,13.49155551,13.32450169,14.07565753,13.30911118
A6NMZ7,A6NMZ7,COL6A6,Homo sapiens,Collagen alpha-6(VI) chain,CO6A6_HUMAN,sp,0.084420504,46036.75781,46032.07422,43540.875,53584.93359,53070.66406,49368.34375,15.49049861,15.49035183,15.41008278,15.7095398,15.69562698,15.59129862
A6NNY8;Q9UPT9,A6NNY8;Q9UPT9,USP27X;USP22,Homo sapiens,Ubiquitin carboxyl-terminal hydrolase 27;Ubiquitin carboxyl-terminal hydrolase 22,UBP27_HUMAN;UBP22_HUMAN,sp,0.081076304,9188.75293,10550.78711,10179.96582,8922.766602,8565.436523,9215.722656,13.16565336,13.36506301,13.3134451,13.12327539,13.06431106,13.16988158
A6QL63,A6QL63,BTBD11,Homo sapiens,Ankyrin repeat and BTB/POZ domain-containing protein BTBD11,BTBDB_HUMAN,sp,0.188400807,3600.167725,4895.93457,3262.322021,5194.235352,3611.817871,4247.946289,11.81384841,12.25736856,11.67168348,12.34269567,11.81850943,12.05254981
A8CG34,A8CG34,POM121C,Homo sapiens,Nuclear envelope pore membrane protein POM 121C,P121C_HUMAN,sp,0.054373921,33494.11328,30261.02734,33574.98438,32906.51172,35484.31641,34827.77344,15.03161994,14.88517335,15.03509911,15.00608548,15.11489389,15.08795062
A8MWD9;P62308,A8MWD9;P62308,SNRPGP15;SNRPG,Homo sapiens,Putative small nuclear ribonucleoprotein G-like protein 15;Small nuclear ribonucleoprotein G,RUXGL_HUMAN;RUXG_HUMAN,sp,0.08219068,630435,692688.0625,701026.5625,558189.5,671267.6875,627594.8125,19.26598811,19.40184629,19.41910958,19.09039546,19.35652867,19.2594739
A8MXV4,A8MXV4,NUDT19,Homo sapiens,Nucleoside diphosphate-linked moiety X motif 19,NUD19_HUMAN,sp,0.174466966,10392.63574,6420.321289,9534.96582,7729.8125,8733.944336,10216.91895,13.34327397,12.64842978,13.21901205,12.9162177,13.09241762,13.31867258
A8MYZ6,A8MYZ6,FOXO6,Homo sapiens,Forkhead box protein O6,FOXO6_HUMAN,sp,0.111024704,286525,233239.3906,326563.75,266615.5938,279267.7188,298269.5938,18.1283015,17.83145193,18.31700513,18.02440164,18.09128929,18.18625739
A9QM74,A9QM74,KPNA7,Homo sapiens,Importin subunit alpha-8,IMA8_HUMAN,sp,0.055284864,124821.4844,127899.7344,115780.5391,133123.1563,116134.6563,121275.6797,16.92950675,16.96465374,16.82103325,17.02240202,16.82543903,16.88793074
B0YJ81,B0YJ81,HACD1,Homo sapiens,Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase 1,HACD1_HUMAN,sp,0.204128731,3912.192383,6457.285645,4249.203125,6550.863281,5644.969727,5560.590332,11.9337616,12.65671213,12.0529766,12.67746932,12.46275013,12.44102234
B4DL54;P49356,B4DL54;P49356,CHURC1-FNTB;FNTB,Homo sapiens,Protein CHURC1-FNTB;Protein farnesyltransferase subunit beta,B4DL54_HUMAN;FNTB_HUMAN,tr;sp,0.172581905,4539.743652,7915.634766,6109.47998,6149.409668,6247.88916,6199.050293,12.14839512,12.95048933,12.57683387,12.58623221,12.60915314,12.59783149
B4DXR9;Q15928;Q3SXZ3;Q8IYB9;Q8TB69,B4DXR9;Q15928;Q3SXZ3;Q8IYB9;Q8TB69,ZNF732;ZNF141;ZNF718;ZNF595;ZNF519,Homo sapiens,Zinc finger protein 732;Zinc finger protein 141;Zinc finger protein 718;Zinc finger protein 595;Zinc finger protein 519,ZN732_HUMAN;ZN141_HUMAN;ZN718_HUMAN;ZN595_HUMAN;ZN519_HUMAN,sp,0.075778064,19107.74219,18286.05078,15858.58008,16667.33789,16593.76367,16111.37402,14.2218697,14.15845591,13.95297598,14.02473607,14.01835352,13.97579192
B7ZAQ6;P0CG08,B7ZAQ6;P0CG08,GPR89A;GPR89B,Homo sapiens,Golgi pH regulator A;Golgi pH regulator B,GPHRA_HUMAN;GPHRB_HUMAN,sp,0.204857565,17319.04102,17926.55469,20076.63086,20506.67578,10852.20898,15996.02832,14.08007143,14.12981062,14.29322956,14.32380602,13.40570111,13.96542612
C9JLW8,C9JLW8,FAM195B,Homo sapiens,Mapk-regulated corepressor-interacting protein 1,F195B_HUMAN,sp,0.100814477,24422.45313,28847.88281,29155.21875,25347.85352,22682.84375,24551.55469,14.5759205,14.81617782,14.83146653,14.62957596,14.4693139,14.58352676
E7EQ34;O14653,E7EQ34;O14653,;GOSR2,Homo sapiens,Uncharacterized protein;Golgi SNAP receptor complex member 2,E7EQ34_HUMAN;GOSR2_HUMAN,tr;sp,0.037530807,36338.33984,38337.54297,38847.93359,37406.96484,35712.15625,35518.72656,15.14920489,15.22647026,15.24555024,15.19101929,15.12412762,15.11629224
E7EVH7;Q07866,E7EVH7;Q07866,;KLC1,Homo sapiens,Uncharacterized protein;Kinesin light chain 1,E7EVH7_HUMAN;KLC1_HUMAN,tr;sp,0.02408354,106717.0781,103920.0078,103936.3984,102588.8359,99081.91406,102859.6172,16.70343155,16.66511392,16.66534145,16.64651421,16.59633412,16.65031716
E9PAV3,E9PAV3,NACA,Homo sapiens,"Nascent polypeptide-associated complex subunit alpha, muscle-specific form",NACAM_HUMAN,sp,0.025133193,400704.4063,391621.75,392503.0938,374816.625,388214.875,377663.5313,18.61217885,18.57910137,18.5823445,18.51582542,18.56649587,18.52674195
E9PI62;Q9BT17,E9PI62;Q9BT17,;MTG1,Homo sapiens,Mitochondrial GTPase 1;Mitochondrial ribosome-associated GTPase 1,E9PI62_HUMAN;MTG1_HUMAN,tr;sp,0.120017264,42971.02734,45061.75,42291.98438,32421.14844,37936.74609,36468.875,15.39107665,15.45961572,15.36809663,14.98464758,15.21130832,15.15437808
E9PL57;Q15843,E9PL57;Q15843,NEDD8-MDP1;NEDD8,Homo sapiens,Protein NEDD8-MDP1 (Fragment);NEDD8,E9PL57_HUMAN;NEDD8_HUMAN,tr;sp,0.10928778,164520.6563,134974.5469,169341.8438,132596.5,166095.9531,166242.7031,17.32790921,17.04232785,17.36957898,17.01668317,17.3416574,17.34293149
E9PLD3;E9PRG8,E9PLD3;E9PRG8,;C11orf98,Homo sapiens,Uncharacterized protein;Uncharacterized protein C11orf98,E9PLD3_HUMAN;CK098_HUMAN,tr;sp,0.032500566,221563.3125,227835.9688,226311.0781,219422.8594,208021.5156,217127.5781,17.75735949,17.797636,17.78794768,17.74335431,17.66637323,17.72818345
E9PLN8;Q9BQB6,E9PLN8;Q9BQB6,;VKORC1,Homo sapiens,Uncharacterized protein (Fragment);Vitamin K epoxide reductase complex subunit 1,E9PLN8_HUMAN;VKOR1_HUMAN,tr;sp,0.048216903,106777.7891,110196.0938,105011.1641,100006.4375,96496.86719,101226.3906,16.70425206,16.74971356,16.68018319,16.60973334,16.55819448,16.62722594
E9PSI1,E9PSI1,,Homo sapiens,Uncharacterized protein,E9PSI1_HUMAN,tr,0.012109907,88513.63281,88687.95313,87859.97656,89205.71094,88582.59375,86176.26563,16.43361205,16.43645053,16.42291849,16.44484845,16.43473562,16.39500296
F5H5P2;P12694,F5H5P2;P12694,;BCKDHA,Homo sapiens,"Uncharacterized protein;2-oxoisovalerate dehydrogenase subunit alpha, mitochondrial",F5H5P2_HUMAN;ODBA_HUMAN,tr;sp,0.053214968,31145.91797,32662.41602,34919.42188,33948.57422,34947.3125,31080.55469,14.92675547,14.99534389,15.09174205,15.05106336,15.09289389,14.92372463
F8VUJ3;Q8N4A0,F8VUJ3;Q8N4A0,POC1B-GALNT4;GALNT4,Homo sapiens,Polypeptide N-acetylgalactosaminyltransferase;Polypeptide N-acetylgalactosaminyltransferase 4,F8VUJ3_HUMAN;GALT4_HUMAN,tr;sp,0.02615203,32275.9668,32604.9043,32375.16602,32749.66016,31752.12891,30478.99414,14.97817269,14.99280136,14.98259997,14.99919232,14.9545657,14.89552767
G3V325,G3V325,ATP5J2-PTCD1,Homo sapiens,Protein ATP5J2-PTCD1,G3V325_HUMAN,tr,0.039206807,323629.3125,318691.4688,350323.875,334742.4063,319560.5625,317746.6563,18.30398276,18.28180087,18.41832979,18.3526918,18.28572985,18.27751742
G3V3G9;Q5TAQ9,G3V3G9;Q5TAQ9,;DCAF8,Homo sapiens,Uncharacterized protein;DDB1- and CUL4-associated factor 8,G3V3G9_HUMAN;DCAF8_HUMAN,tr;sp,0.076899904,15946.83301,14777.08887,15155.03711,13212.94141,13810.68359,13283.25,13.96098232,13.85107446,13.88750976,13.68966405,13.75349711,13.69732055
G3V599;O15320,G3V599;O15320,;CTAGE5,Homo sapiens,Uncharacterized protein;cTAGE family member 5,G3V599_HUMAN;CTGE5_HUMAN,tr;sp,0.063090565,191113.6563,186976.375,198546.4219,196532.5156,211003.5156,220549.5,17.54407135,17.51249647,17.59911684,17.5844085,17.68690751,17.75074296
H0YAA0,H0YAA0,,Homo sapiens,Uncharacterized protein (Fragment),H0YAA0_HUMAN,tr,0.161848945,30112.46289,24467.29688,29989.2793,21763.26367,22909.37695,21003.02734,14.87807309,14.5785671,14.87215923,14.4096073,14.4836506,14.35830967
H0YAE9;O00584,H0YAE9;O00584,;RNASET2,Homo sapiens,Uncharacterized protein (Fragment);Ribonuclease T2,H0YAE9_HUMAN;RNT2_HUMAN,tr;sp,0.194443867,3160.086426,3333.830811,4263.54541,4954.34668,4230.428223,3130.397461,11.6257483,11.70296518,12.05783791,12.27447911,12.04658799,11.61213013
H0YC42,H0YC42,,Homo sapiens,Uncharacterized protein,H0YC42_HUMAN,tr,0.061774131,121029.5547,123025.4219,121547.3047,108018.875,110333.4219,108586.6484,16.88499986,16.90859694,16.89115838,16.7209239,16.75151035,16.7284872
H0YHG0,H0YHG0,,Homo sapiens,Uncharacterized protein (Fragment),H0YHG0_HUMAN,tr,0.175115162,5055.716309,4547.911621,7266.29541,5373.30957,5704.379395,4930.068359,12.3036998,12.1509885,12.8270043,12.39159524,12.47785422,12.26739194
H0YIV9;O43716,H0YIV9;O43716,;GATC,Homo sapiens,"Uncharacterized protein (Fragment);Glutamyl-tRNA(Gln) amidotransferase subunit C, mitochondrial",H0YIV9_HUMAN;GATC_HUMAN,tr;sp,0.149047409,5169.566895,5780.102539,5116.599609,3694.720703,4770.038086,4394.712891,12.3358277,12.49687937,12.32096963,11.85124959,12.21978507,12.1015532
H3BMM5;Q96AX1,H3BMM5;Q96AX1,;VPS33A,Homo sapiens,Uncharacterized protein;Vacuolar protein sorting-associated protein 33A,H3BMM5_HUMAN;VP33A_HUMAN,tr;sp,0.016943137,34160.4375,35494.62109,35129.13281,34163.51563,34097.38281,34679.36719,15.06003883,15.11531279,15.10038034,15.06016882,15.05737339,15.08178995
H3BN98,H3BN98,,Homo sapiens,Uncharacterized protein (Fragment),H3BN98_HUMAN,tr,0.04022358,486891.1563,535903.125,522578.9063,482777.0313,505543.5625,510430.8438,18.89323977,19.0316127,18.99528937,18.88099751,18.94747589,18.96135598
H3BRN7;Q9NWW5,H3BRN7;Q9NWW5,;CLN6,Homo sapiens,Uncharacterized protein;Ceroid-lipofuscinosis neuronal protein 6,H3BRN7_HUMAN;CLN6_HUMAN,tr;sp,0.109304018,42465.00391,50710.10938,49155.24609,49795.33984,56905.61719,57588.53906,15.37398676,15.62998577,15.58505778,15.60372311,15.79628345,15.8134941
H7C1D1;Q96JY6,H7C1D1;Q96JY6,;PDLIM2,Homo sapiens,Uncharacterized protein (Fragment);PDZ and LIM domain protein 2,H7C1D1_HUMAN;PDLI2_HUMAN,tr;sp,0.115853925,20453.05273,22702.53516,22999.7168,18550.95117,25999.26953,21190.11914,14.32002857,14.47056579,14.48932848,14.17920554,14.66618347,14.37110408
