PG.ProteinGroups,PG.Genes,[1] 20231022_AL_HBSS_pooled_DIA1.raw.PG.Quantity,[2] 20231022_AL_HBSS_pooled_DIA2.raw.PG.Quantity,[3] 20231022_AL_HBSS_pooled_DIA3.raw.PG.Quantity,[4] 20231022_AL_HBSSbaf_pooled_DIAbaf1.raw.PG.Quantity,[5] 20231022_AL_HBSSbaf_pooled_DIAbaf2.raw.PG.Quantity,[6] 20231022_AL_HBSSbaf_pooled_DIAbaf3.raw.PG.Quantity
A0A087WUM0,SYNJ2BP-COX16,65687.0078125,65371.828125,69432.8984375,63110.6875,66534.84375,66596.21875
A0A088AWK7,,89347.0234375,114276.2421875,94402.359375,165115.125,162566.4375,180215.921875
A0A096LP75;C4AMC7;Q6VEQ5;Q9NQA3,LOC102723897;WASH3P;WASH2P;WASH6P,15417.443359375,15903.3603515625,15819.7177734375,17866.076171875,19517.681640625,19226.74609375
A0A096LPI6,,136414.484375,127312.046875,133075.8125,140460.9375,141332.53125,158233.828125
A0A0A6YYC7;Q96JP5,ZFP91-CNTF;ZFP91,26310.03515625,22447.150390625,27357.740234375,29125.037109375,29298.41015625,28096.4296875
A0A0A6YYH1;Q7Z6K5,C15orf38-AP3S2;ARPIN,14464.3154296875,27726.2890625,37097.453125,15447.236328125,37710.625,38609.80859375
A0A0A6YYL6;P18621,RPL17-C18orf32;RPL17,789831,757615.9375,740286.6875,758051.875,755365,777920.3125
A0A0B4J1R7;Q96B45,BORCS7-ASMT;C10orf32,19477.3671875,16537.146484375,18137.84375,17307.060546875,19730.830078125,16958.384765625
A0A0B4J1V8;Q9NQ55,PPAN-P2RY11;PPAN,59724.609375,53716.80859375,55801.609375,55510.58984375,58521.65234375,56455.1171875
A0A0B4J1Z7;A0A0U1RVJ5,IGKV1-39;IGKV1D-39,3726.34375,4375.013671875,4662.48193359375,5516.5087890625,6691.21923828125,4214.20703125
A0A0B4J269,,28858.1328125,23904.794921875,21082.69921875,19161.59375,22570.841796875,29083.396484375
A0A0B4J2A0;Q9UHJ6,;SHPK,52831.10546875,51630.90625,53854.48046875,62972.12890625,63371.0078125,63774.6796875
A0A0B4J2E5;Q15269,LOC102724159;PWP2,63194.1015625,64254.10546875,65439.66796875,62649.890625,72802.46875,73925.3359375
A0A0C4DFX4;Q6ZRS2,;SRCAP,47010.9765625,42714.3359375,42391.03515625,39885.6171875,43278.46875,50583.27734375
A0A0U1RQM0;Q15004,;KIAA0101,19346.1640625,16183.6650390625,19329.134765625,18097.939453125,17103.302734375,16550.712890625
A0A0U1RQV1,ERVK3-1,6800.1240234375,4727.2197265625,7495.18212890625,8118.703125,7676.892578125,2703.237548828125
A0A0U1RRH7;P0C0S8;P20671;Q16777;Q6FI13;Q96KK5;Q99878;Q9BTM1,;HIST1H2AG;HIST1H2AD;HIST2H2AC;HIST2H2AA3;HIST1H2AH;HIST1H2AJ;H2AFJ,24465214,23775738,24848884,27547548,28120246,29121016
A0AV96,RBM47,59340.375,57855.203125,63124.0859375,62429.828125,64185.08203125,60818.90625
A0AVT1,UBA6,33004.1796875,30631.021484375,32941.734375,34826.2421875,36934.734375,33840.76953125
A0FGR8,ESYT2,117924.1171875,113656.390625,118176.6015625,123671.9296875,129124.7421875,130765.3671875
A0MZ66,SHTN1,46827.3984375,44599.9765625,46599.765625,46411.9375,50321.6484375,50337.70703125
A0PJW6,TMEM223,11756.33203125,14962.3583984375,11420.986328125,13339.8857421875,16571.10546875,14852.6884765625
A1L0T0,ILVBL,51233.62109375,44032.4921875,49483.09375,49249.32421875,52395.484375,51890.38671875
A1L390,PLEKHG3,NaN,200.77243041992188,377.0587463378906,1024.378662109375,370.735595703125,NaN
A1L3X0,ELOVL7,12333.509765625,8210.9912109375,8188.16796875,5744.9453125,7045.72607421875,9025.169921875
A1X283,SH3PXD2B,16644.0703125,10936.09765625,16030.240234375,18290.640625,21510.6484375,23582.919921875
A2A3N6,PIPSL,21715.232421875,22301.4453125,25044.3359375,20388.564453125,27314.57421875,14483.37890625
A2RRP1,NBAS,24073.3515625,20746.728515625,23973.060546875,21232.66015625,22144.49609375,25096.73828125
A2RUS2,DENND3,60437.25,67254.734375,60874.515625,63420.41015625,66224.015625,51081.546875
A3KMH1,VWA8,26058.515625,22893.955078125,24195.021484375,22961.69921875,24176.90234375,26881.896484375
A3KN83,SBNO1,32999.31640625,36380.015625,34685.00390625,35926.5703125,39177.859375,35707.99609375
A4D1E9,GTPBP10,38057.01953125,31227.79296875,36969.109375,35359.7265625,44920.3046875,41042.17578125
A4D2B8,PMS2P1,155311.15625,149181.03125,149770.46875,150618,165481.078125,161453.171875
A5A3E0,POTEF,112250.296875,102378.5234375,117901.796875,110236.453125,118993.9375,115423.4609375
A5D8V6,VPS37C,14016.3046875,18274.54296875,15504.615234375,18452.353515625,18249.8125,17832.71484375
A5PLL7,TMEM189,6554.18994140625,9165.8857421875,5805.92138671875,9670.115234375,7876.95849609375,5397.57177734375
A5YKK6,CNOT1,81353.3046875,75067.0859375,79474.8671875,77730.0390625,83355.609375,80397.25
A6NCE7;Q9GZQ8;Q9H492,MAP1LC3B2;MAP1LC3B;MAP1LC3A,51502.1015625,43831.9375,45003.80078125,82490.453125,89165.3828125,92223.3671875
A6NDG6,PGP,81513.84375,68449.1640625,72861.7109375,72196.0625,65008.88671875,68602.046875
A6NHR9,SMCHD1,42822.77734375,38774.71484375,42337.2265625,42167.98046875,41463.16796875,43250.2578125
A6NHX0,GATSL2,4202.83935546875,3240.644775390625,3550.73095703125,3870.669677734375,3461.90673828125,3594.763671875
A6NIH7,UNC119B,8646.00390625,9731.9765625,10662.2548828125,9357.5966796875,17329.853515625,9874.896484375
A6NMZ7,COL6A6,45633.94140625,42739.96875,43753.9375,53488.75,57062.98828125,51056.125
A6NNY8;Q9UPT9,USP27X;USP22,9039.103515625,9815.013671875,9904.87109375,9043.208984375,9322.3544921875,9763.8662109375
A6QL63,BTBD11,3537.996826171875,4651.5234375,3299.85400390625,5091.44384765625,3953.467041015625,4397.578125
A8CG34,POM121C,32985.671875,26164.380859375,32428.07421875,34003.2578125,37220.48828125,37465.16796875
A8MWD9;P62308,SNRPGP15;SNRPG,634615.125,644580.8125,684749.8125,519672.9375,674266.0625,630428.75
A8MXV4,NUDT19,9469.564453125,5534.37255859375,8722.82421875,7216.7802734375,8835.359375,9917.2734375
A8MYZ6,FOXO6,288241.25,208661.3125,306303.1875,305303.9375,287336.875,320978.375
A9QM74,KPNA7,125958.328125,127888.4375,118414.9140625,143366.125,128364.7265625,131632.921875
B0YJ81,HACD1,3933.914794921875,5650.5361328125,4130.97802734375,6777.06787109375,6046.45703125,6095.41552734375
B4DL54;P49356,CHURC1-FNTB;FNTB,4519.81884765625,6817.61865234375,5875.73828125,6437.4404296875,6732.52392578125,6892.00390625
B4DXR9;Q15928;Q3SXZ3;Q8IYB9;Q8TB69,ZNF732;ZNF141;ZNF718;ZNF595;ZNF519,18220.455078125,15533.2060546875,15012.3974609375,17067.662109375,17763.248046875,17300.908203125
B7ZAQ6;P0CG08,GPR89A;GPR89B,19020.654296875,18153.5390625,22362.09765625,22373.91796875,13095.681640625,18651.78515625
C9JLW8,FAM195B,23034.33203125,24866.548828125,27425.400390625,24270.203125,23121.962890625,24803.755859375
E7EQ34;O14653,;GOSR2,35748.9609375,33446.96875,36391.9921875,38380.359375,37514.57421875,37030.546875
E7EVH7;Q07866,;KLC1,108999.5,97288.3203125,105985.8984375,108674.859375,106962.1015625,112641.4453125
E9PAV3,NACA,396257.25,356635.53125,386548.21875,374207.8125,415824.21875,394133.21875
E9PI62;Q9BT17,;MTG1,41086.296875,39377.578125,40273.8828125,30568.939453125,38017.8203125,36897.59765625
E9PL57;Q15843,NEDD8-MDP1;NEDD8,175451.6875,136075.15625,184413.96875,144597.359375,194306.078125,188916.90625
E9PLD3;E9PRG8,;C11orf98,218192.46875,211548.703125,216950.046875,226588.03125,229083.640625,226591.453125
E9PLN8;Q9BQB6,;VKORC1,99965.921875,98950.796875,95180.0078125,100187.1015625,97148.9765625,101009.96875
E9PSI1,,88046.3671875,80200.0234375,86428.1953125,92163.515625,93052.2265625,90388.140625
ENSEMBL:ENSBTAP00000024146,,26878.876953125,17976.71484375,25970.041015625,37716.70703125,29642.8515625,35822.99609375
F5H5P2;P12694,;BCKDHA,28961.44921875,27558.8359375,31556.150390625,33052.0625,36015.43359375,32456.923828125
F8VUJ3;Q8N4A0,POC1B-GALNT4;GALNT4,31252.943359375,28974.91796875,30990.201171875,32350.0390625,32101.154296875,31035.271484375
G3V325,ATP5J2-PTCD1,304657.15625,286188.625,334085.90625,320368.40625,331387.09375,317291.96875
G3V3G9;Q5TAQ9,;DCAF8,15990.1689453125,13333.1337890625,14608.3125,13858.4453125,14022.0185546875,13821.029296875
G3V599;O15320,;CTAGE5,174938.609375,156573.296875,175893.84375,178478.5625,193754.203125,209157.921875
H-INV:HIT000292931,,307106.78125,258245.734375,273470.21875,277625.9375,262684.78125,276937.96875
H0YAA0,,29599.490234375,22877.015625,28926.4765625,22549.734375,25318.6640625,21984.71875
H0YAE9;O00584,;RNASET2,3121.703369140625,3309.40771484375,4313.39794921875,4709.81298828125,4642.96337890625,3154.96435546875
H0YC42,,124679.015625,116822.421875,118898.5234375,116903.4609375,116617.8046875,116820.078125
H0YHG0,,5141.640625,4203.93603515625,7056.37060546875,5646.84765625,5945.298828125,5209.16552734375
H0YIV9;O43716,;GATC,4865.12109375,5023.8544921875,4866.19677734375,3460.658447265625,4797.197265625,4251.6044921875
H3BMM5;Q96AX1,;VPS33A,33689.9375,32946.24609375,33584.578125,35992.77734375,36633.20703125,37949.18359375
H3BN98,,485414.21875,483418.03125,500659.125,529122.5,526429.875,547497.5
H3BRN7;Q9NWW5,;CLN6,41951.1484375,47122.01953125,48026.5390625,50098.58984375,61812.86328125,61216.0703125
H7C1D1;Q96JY6,;PDLIM2,19615.24609375,21586.83203125,23342.9609375,19225.25390625,26867.37890625,22141.42578125
I3L0E3,hCG_1984214,18992.859375,17781.771484375,19670.513671875,20918.1953125,21045.8515625,23750.8828125
I3L4J1,,47160.234375,43159.8125,45813.6796875,43754.5546875,40804.41796875,42315.12890625
K7ELQ4;P17544,;ATF7,5031.0595703125,8464.09375,4078.009765625,6777.798828125,4589.6162109375,7031.34619140625
K7EQZ3,,51545.5234375,42201.01953125,47271.47265625,63071.0078125,65158.12890625,64756.55078125
K7ERE1;Q8N2U0,;TMEM256,45170.2421875,51644.6328125,45075.234375,48170.54296875,46397.26953125,50271.46484375
K7ERS5;Q9NZ42,;PSENEN,20480.130859375,17678.966796875,22953.5078125,17330.873046875,20678.23828125,18530.046875
M0QYT0,,1059603.5,953452.5,1024021.25,1042515.625,1063851.25,1087761.375
M0QZ24;O00754,;MAN2B1,18721.0078125,11068.923828125,14120.2705078125,15308.482421875,11679.447265625,14654.9033203125
M0QZD8;Q6ZTK2,,42660.03125,37775.16015625,40483.58203125,50611.0703125,51627.38671875,50814
M0R2C6,,102907.5390625,91553.1171875,94882.1796875,95923.4453125,97799,98779.6171875
O00116,AGPS,155355.109375,158234.375,149590.890625,154597.625,163036.46875,160404.1875
O00139,KIF2A,61581.15234375,52515.6796875,58952.35546875,63158.77734375,68586.6640625,67030.1171875
O00148,DDX39A,646876.1875,607153.375,638598.6875,614815.3125,651972.25,674977.1875
O00151,PDLIM1,209811.34375,203087.65625,218480.9375,227810.046875,238651.40625,234499.953125
O00154,ACOT7,77400.375,79702.3671875,80222.6875,83675.8828125,92676.9609375,95181.3046875
O00159,MYO1C,322347.96875,305360.65625,316240.03125,306572.8125,309167.5,307592.15625
O00161,SNAP23,37952.7265625,32767.251953125,35108.3046875,39227.31640625,38804.88671875,35210.1328125
O00165,HAX1,29503.671875,22867.4296875,24652.55078125,28903.052734375,29180.96875,29838.19921875
O00170,AIP,53093.87890625,50897.99609375,49612.23828125,54957.0546875,55391.9453125,54696.06640625
O00178,GTPBP1,3536.290771484375,4144.1201171875,6341.220703125,NaN,4967.7236328125,2062.161865234375
O00186,STXBP3,56088.18359375,49294.953125,54801.359375,57267.09375,59186.71484375,58814.29296875
O00193,SMAP,24545.033203125,16069.0439453125,16345.1064453125,20585.173828125,15525.37890625,13910.26953125
O00194,RAB27B,49580.76953125,44227.08203125,48345.359375,48704.47265625,56575.94140625,48802.8515625
O00203,AP3B1,58069.3203125,52968.08984375,55966.65625,57920.6953125,57510.53125,57292.046875
O00214,LGALS8,24611.40234375,24355.8359375,25216.44140625,30397.703125,32196.26953125,30275.015625
O00217,NDUFS8,148506.8125,147021.875,154913.90625,146201.03125,148102.59375,141406.09375
O00220,TNFRSF10A,13512.0576171875,12064.6796875,16738.513671875,16598.556640625,17444.3359375,19247.8515625
O00231,PSMD11,384800.8125,366676.71875,380984.8125,393735.9375,405923.09375,395142.625
O00232,PSMD12,268335.21875,235300.90625,254711,262141.53125,275788.78125,266238
O00233,PSMD9,125794.8359375,121381.46875,126664.2890625,143328.984375,141945.703125,143992.6875
O00244,ATOX1,21714.15234375,16320.7705078125,18001.353515625,25046.470703125,24006.314453125,27288.716796875
O00255,MEN1,13688.0546875,13043.591796875,13267.2294921875,13898.1376953125,12345.48828125,12038.962890625
O00257,CBX4,7458.76708984375,7726.8564453125,10585.2548828125,8175.064453125,10368.7265625,8577.2998046875
O00264,PGRMC1,350139.65625,335161,351097.46875,366014.5625,392159.40625,375279.25
O00267,SUPT5H,82966.6875,81348.1328125,90820.9140625,88950.046875,91693.75,91814.71875
O00268,TAF4,10904.68359375,11536.8056640625,11708.486328125,9902.81640625,13183.662109375,12199.9765625
O00273,DFFA,18899.642578125,17759.8828125,19746.26171875,20179.1640625,19408.46875,23082.55078125
O00291,HIP1,58620.17578125,54319.03125,58266.51171875,63932.0546875,61316.921875,64170.69921875
O00299,CLIC1,388068.46875,359693.4375,383903.78125,405321.375,421596.46875,424701.21875
O00303,EIF3F,274957.5,254272.203125,276780,266499.4375,284896.75,286054.71875
O00308,WWP2,4441.29052734375,4556.955078125,4064.658203125,9906.4521484375,4725.74560546875,7693.55517578125
O00330,PDHX,52641.921875,38714.32421875,47347.98046875,52926.53515625,48658.234375,58018.58203125
O00400,SLC33A1,45602.56640625,42993.83203125,46372.92578125,47704.28125,55393.60546875,53933.69921875
O00401,WASL,17799.7109375,14504.880859375,16317.7197265625,15720.0166015625,14621.5791015625,13025.0029296875
O00410,IPO5,194789.421875,197064.21875,193791.546875,201342.625,211098.015625,207777.578125
O00411,POLRMT,20509.677734375,18013.0625,18999.458984375,20434.04296875,21450.806640625,18287.080078125
O00422,SAP18,333630,309899.46875,325950.21875,329091.0625,313199.09375,347427.03125
O00423,EML1,11048.4443359375,9558.126953125,9976.205078125,11395.482421875,11932.34375,11184.4541015625
O00425,IGF2BP3,75374.578125,67693.0078125,72950.0859375,76303.875,74956.078125,76635.953125
O00429,DNM1L,190522.421875,182836.515625,193722.171875,203284.734375,210241.75,212194.109375
O00442,RTCA,22652.3515625,28060.20703125,25550.388671875,26227.341796875,25474.833984375,27743.490234375
O00443,PIK3C2A,13584.46484375,12860.916015625,13737.8408203125,14218.7958984375,17101.826171875,15981.927734375
O00445,SYT5,0.7050704956054688,NaN,NaN,1.5916694402694702,NaN,NaN
O00461,GOLIM4,36326.515625,31525.3125,40631.79296875,39937.17578125,35596.76171875,41540.1875
O00468,AGRN,13832.7353515625,11440.3486328125,12109.205078125,17886.55078125,16886.689453125,16992.173828125
O00469,PLOD2,166816.625,148482.453125,164157.203125,167833.78125,168323.15625,178060.890625
O00471,EXOC5,15592.8359375,12849.802734375,16561.142578125,15351.1943359375,13987.5361328125,15084.25
O00479,HMGN4,21660.71484375,16477.81640625,23381.103515625,24149.765625,28987.603515625,29810.59765625
O00483,NDUFA4,325415,306933.65625,307906.25,337601.84375,333251.53125,343805.5
O00487,PSMD14,142336.6875,129041.8203125,134933.921875,143631.46875,151086.453125,151516.875
O00488,ZNF593,6884.455078125,3795.767333984375,5149.74560546875,6582.9619140625,4887.53662109375,4715.0810546875
O00499,BIN1,6725.9423828125,5473.51513671875,6947.70068359375,9517.431640625,6300.55224609375,6194.97607421875
O00505,KPNA3,56267.875,53453.9375,57246.984375,58223.83203125,61812.23828125,63823.00390625
O00512,BCL9,11437.3544921875,10317.83984375,10255.310546875,11611.2607421875,7628.4111328125,11839.6845703125
O00522,KRIT1,3088.208251953125,1140.9508056640625,3803.147705078125,NaN,739.7366333007812,NaN
O00541,PES1,182891.40625,173018.890625,183424.546875,187491,193913.28125,192572.96875
O00559,EBAG9,26335.8671875,27847.28125,26583.7421875,29580.62890625,32239.328125,30470.4140625
O00560,SDCBP,19073.41796875,18569.947265625,17620.697265625,27322.904296875,28004.791015625,32605.515625
O00566,MPHOSPH10,37339.30859375,34441.859375,37626.671875,36230.84765625,41253.5078125,39570.99609375
O00567,NOP56,217429.1875,195755.765625,213877.34375,223151.703125,221241.21875,229902.125
O00571,DDX3X,687944.9375,659600.625,680680.6875,705424.9375,718575.75,729869.25
O00592,PODXL,192154.359375,180431.34375,179568.953125,191426.59375,191092.78125,192290.734375
O00622,CYR61,5023.9052734375,4692.06982421875,4103.68603515625,5169.578125,4965.4013671875,777.8240356445312
O00625,PIR,56355.49609375,43543.1875,47825.16796875,52561.296875,54630.6953125,58036.83203125
O00629,KPNA4,96940.9765625,99205.203125,104089.9609375,112730.703125,120105.6953125,116359.8046875
O00712,NFIB,4949.33447265625,6824.994140625,6627.8291015625,8684.328125,7859.796875,8677.509765625
O00743,PPP6C,7684.92529296875,6252.248046875,6355.36474609375,6212.7724609375,7423.5849609375,7710.89208984375
O00746,NME4,52716.86328125,51026.24609375,50376.8984375,54168.3828125,54049.62890625,54574.71484375
O00762,UBE2C,25616.8984375,24093.591796875,24106.041015625,25934.970703125,25834.775390625,24097.111328125
O00764,PDXK,68583.90625,66694.2578125,69800.5,77000.703125,78774.1875,77982.640625
O00767,SCD,53157.12890625,51930.4609375,49378.453125,44770.26171875,52741.625,46081.08203125
O14494,PLPP1,17960.78125,10643.15234375,20681.84375,19050.35546875,25191.326171875,23079.57421875
O14495,PLPP3,6455.1884765625,8911.6337890625,10332.779296875,8340.4814453125,8331.0302734375,9922.8017578125
O14497,ARID1A,50974.83203125,46296.4296875,48603.98828125,50311.3671875,50985.3125,53730.375
O14519;O75956,CDK2AP1;CDK2AP2,77879.015625,74539.7265625,74834.5,85967.59375,78966.9765625,83624.4765625
O14524,NEMP1,143198.640625,130580.1640625,126269.265625,125224.5703125,132349.078125,125653.34375
O14530,TXNDC9,18393.587890625,18637.701171875,20791.3984375,20224.486328125,19941.130859375,18249.888671875
O14545,TRAFD1,8444.9482421875,6982.6982421875,6906.421875,8353.6083984375,8067.208984375,5844.162109375
O14548,COX7A2L,108845.40625,97185,99867.3125,109556.4375,98152.546875,99522.9140625
O14561,NDUFAB1,62795.75,70577.515625,68865.734375,71237.90625,72772.015625,71383.1796875
O14578,CIT,41882.578125,38846.05859375,43547.8203125,45588.62890625,47076.90625,44484.6796875
O14579,COPE,60852.3828125,55121.27734375,61003.66015625,57105.765625,61192.26953125,59300.5703125
O14602,EIF1AY,96189.875,88210.546875,86542.0546875,103136.1484375,98047.328125,99485.8515625
O14617,AP3D1,44804.3203125,43991.84765625,47197.21875,42364.9296875,47352.3671875,47807.5390625
O14618,CCS,24428.658203125,27338.6171875,18943.904296875,23777.767578125,23908.119140625,21105.150390625
O14639,ABLIM1,16726.982421875,16772.529296875,16095.876953125,18499.728515625,19239.322265625,21166.26171875
O14646,CHD1,27360.25390625,22300.25,28449.7890625,28791.7109375,30401.498046875,30230.556640625
O14656,TOR1A,41681.22265625,42663.24609375,38335.2890625,42509.05859375,45302.1171875,42928.41015625
O14657,TOR1B,34276.1015625,30873.884765625,31205.251953125,35409.71875,33471,29616.833984375
O14672,ADAM10,198469.015625,178793.328125,198256.421875,208141.6875,219910.265625,233358.828125
O14681,EI24,12818.876953125,12291.9775390625,11277.3994140625,14876.0048828125,16276.7294921875,13419.7705078125
O14683,TP53I11,10889.9736328125,8759.4365234375,9506.4189453125,12332.4443359375,11163.2060546875,14762.29296875
O14684,PTGES,109637.7578125,93266.4765625,100260.6796875,98534.1328125,99376.3515625,105380.484375
O14686,KMT2D,2664.131103515625,NaN,1027.16552734375,2863.7900390625,2132.0859375,3164.01806640625
O14715;Q99666,RGPD8;RGPD5,7359.86669921875,8397.80078125,5704.60595703125,8785.876953125,8934.990234375,7989.4345703125
O14734,ACOT8,11921.34765625,7755.84130859375,9213.46484375,10196.029296875,13686.30078125,10925.0625
O14735,CDIPT,65496.0546875,60876.48046875,62078.22265625,64098.51953125,62788.3515625,68604.9140625
O14737,PDCD5,195778.640625,188126.296875,199428.46875,207361.796875,212177.1875,222120.125
O14744,PRMT5,258269.0625,246902.984375,251918.6875,279281.3125,274815.65625,269887.21875
O14745,SLC9A3R1,100987.515625,90993.1015625,102428.2890625,98806.6171875,100185.6640625,100882.5859375
O14757,CHEK1,6817.0107421875,4374.1279296875,5614.61669921875,5083.4990234375,3162.146484375,3206.196044921875
O14763,TNFRSF10B,27308.970703125,21851.365234375,24744.34375,22696.02734375,22552.384765625,26968.919921875
O14773,TPP1,51407.78125,47688.546875,57901.05859375,49105.21875,51215.1015625,45244.0625
O14776,TCERG1,156919.28125,146824.140625,154757.1875,161750.34375,165538,166236.734375
O14786,NRP1,67185.6953125,59824.51171875,66731.171875,74979.0703125,82693.265625,81198
O14802,POLR3A,22801.443359375,19291.484375,19228.005859375,24754.958984375,20045.607421875,20931.4765625
O14818,PSMA7,79130.9375,68641.1484375,68154.9375,80312.8515625,90232.609375,91332.671875
O14828,SCAMP3,140821.5625,124153.1484375,135101.359375,149633.015625,145051.5,146983.140625
O14832,PHYH,23884.611328125,19858.212890625,26853.73046875,27769.94140625,23479.57421875,26151.16015625
O14874,BCKDK,5230.91162109375,4831.2900390625,8268.189453125,5091.6650390625,4963.9453125,5781.3564453125
O14880,MGST3,87931.859375,80820.6953125,87574.8828125,81444.8203125,94493.2265625,90351.6328125
O14893,GEMIN2,8868.71484375,8717.162109375,2477.205322265625,14901.3525390625,10222.6328125,13430.0634765625
O14907,TAX1BP3,127053.7109375,136436.578125,118408.140625,122692.265625,133381.1875,136027.3125
O14908,GIPC1,42799.9296875,36445.45703125,40200.125,41256.6171875,47913.44140625,42767.26953125
O14910,LIN7A,6850.71826171875,5568.583984375,6893.7099609375,7504.46240234375,3565.939208984375,3641.70703125
O14920,IKBKB,11292.853515625,10724.24609375,9992.029296875,14572.583984375,11609.41015625,10357.2431640625
O14925,TIMM23,83179.15625,77062.8359375,84303.09375,81312.6015625,84886.796875,78796.9375
O14929,HAT1,62010.9765625,59151.60546875,66644.421875,61954.33984375,66723.34375,60148.16015625
O14936,CASK,29271.603515625,29075.48828125,28903.962890625,27514.1953125,31098.912109375,30400.015625
O14939,PLD2,1494.0142822265625,1508.679931640625,1826.470703125,1439.09912109375,1297.430419921875,1728.2249755859375
O14949,UQCRQ,280115.78125,262209.71875,286987.84375,289542.5625,297134.125,299130.65625
O14950;P19105,MYL12B;MYL12A,493890.09375,407239.78125,468431.125,435401.21875,425202.4375,439645.5
O14957,UQCR11,9334.615234375,12003.6220703125,11989.548828125,9025.701171875,9366.158203125,11270.0625
O14964,HGS,74042.8828125,61641.75,69192.0546875,72844.0625,74328.6484375,78025.8203125
O14965,AURKA,3820.57080078125,3968.591796875,3843.204345703125,4790.13720703125,7937.64208984375,4586.3662109375
O14966,RAB29,8365.1552734375,6562.79638671875,9574.3798828125,8486.1279296875,8336.3056640625,6750.02001953125
O14974,PPP1R12A,68190.828125,60833.9453125,64778.171875,69796.4296875,73355.8671875,71978.5859375
O14975,SLC27A2,22436.646484375,25165.78125,22103.896484375,18466.384765625,21306.236328125,19543.025390625
O14976,GAK,49770.33984375,49721.01953125,58839.00390625,68882.265625,60544.6953125,64004.234375
O14979,HNRNPDL,176127.296875,157743.921875,173528.71875,179945.671875,197023.40625,204430.015625
O14980,XPO1,189190.546875,174385.625,192639.109375,198810.875,201374.875,204786.78125
O14981,BTAF1,24588.171875,24222.646484375,25209.7421875,25004.158203125,26868.041015625,27156.599609375
O15013,ARHGEF10,21131.71484375,22012.541015625,19365.3046875,17397.595703125,22693.052734375,19835.919921875
O15014,ZNF609,7402.90771484375,6736.89453125,7055.3818359375,8070.23681640625,8748.033203125,7909.8642578125
O15027,SEC16A,53038.4140625,52612.11328125,51389.99609375,50468.89453125,55667.484375,55823.4765625
O15031,PLXNB2,38722.40625,34256.35546875,33883.76171875,38690.0625,38504.3359375,45167.30859375
O15042,U2SURP,130627.0078125,117253.2734375,124147.8671875,133431.15625,136158.125,136351.859375
O15047,SETD1A,2190.6357421875,2582.330810546875,2429.249755859375,2436.9306640625,1807.7071533203125,2697.034912109375
O15054,KDM6B,28885.65625,25774.033203125,27626.982421875,30528.455078125,31339.14453125,33297.01953125
O15056,SYNJ2,10027.3046875,9802.205078125,12084.9765625,10772.4140625,13197.7060546875,11838.6806640625
O15061,SYNM,26303.51953125,25566.939453125,26177.2109375,28518.81640625,28426.697265625,28932.572265625
O15067,PFAS,112948.0859375,103859.609375,114926.1875,115961.203125,125009.046875,122957.6015625
O15084,ANKRD28,23438.869140625,12673.255859375,19086.439453125,18842.931640625,18630.134765625,17361.9453125
O15091,KIAA0391,42132.17578125,46054.1328125,49862.51953125,46719.91015625,50732.0078125,51950.046875
O15116,LSM1,11536.70703125,8818.212890625,8315.787109375,9149.6767578125,8817.3564453125,9314.427734375
O15118,NPC1,24640.15625,24318.443359375,24478.037109375,28227.41015625,32356.39453125,32586.595703125
O15121,DEGS1,9250.8798828125,6386.28857421875,9708.20703125,8475.59765625,11353.6513671875,10676.0927734375
O15126,SCAMP1,21414.521484375,18649.955078125,19720.783203125,22984.7734375,24749.630859375,24356.1328125
O15127,SCAMP2,34328.125,28419.7421875,32801,37959.30078125,32376.087890625,36202.296875
O15143,ARPC1B,83731.7890625,80062.4609375,82489.7734375,85711.0078125,88140.15625,89141.2578125
O15144,ARPC2,130361.703125,124294.078125,121812.15625,130673.75,136314.53125,139440.0625
O15145,ARPC3,124279.765625,124207.9375,131171.640625,113693.4609375,128665.9296875,127447.265625
O15155,BET1,77517.265625,53562.71875,50370.41796875,57534.16015625,56825.75390625,46513.94140625
O15160,POLR1C,32108.96484375,31064.404296875,30648.810546875,33371.4375,33509.0546875,31577.662109375
O15164,TRIM24,20855.791015625,21860.375,22248.53125,23358.208984375,23576.580078125,25475.76171875
O15173,PGRMC2,107989.2734375,99081.2109375,106723.484375,114949.5,116944.078125,116570.796875
O15182,CETN3,9114.625,7080.42578125,7005.5458984375,6707.63671875,4952.08251953125,7122.64599609375
O15212,PFDN6,49571.34765625,45998.546875,46016.98828125,47242.1171875,50520.265625,48573.984375
O15213,WDR46,63802.34375,65447.36328125,63919.04296875,69731.7421875,73290.0625,72105.65625
O15226,NKRF,85928.171875,80206.0625,83240.1796875,87699.15625,87432.4765625,92234.6484375
O15228,GNPAT,39180.4296875,37000.40625,42365.73046875,37804.8671875,39800.7734375,38320.03515625
O15230,LAMA5,47744.265625,49340.765625,47519.76953125,62740.55078125,61284.96484375,65954.296875
O15231,ZNF185,123421.9140625,118636.0859375,129238.78125,138922.71875,139861.8125,140954.359375
O15235,MRPS12,72119.6875,71901.828125,69068.921875,69015.203125,73540.046875,74623.234375
O15243,LEPROT,979.4017944335938,500.4383544921875,1861.28955078125,2763.960693359375,1092.8914794921875,984.2390747070312
O15254,ACOX3,5641.93310546875,3099.58837890625,1334.51416015625,2747.895751953125,2230.623291015625,790.2599487304688
O15258,RER1,72279.328125,56928.60546875,69481.5078125,72328.2890625,69321.34375,74729.0390625
